site,plant.year,year,plot,abg,decomp,floral.cov,alpha.hill1,age,plant.height,SLA,seed.mass,FDis,ANDGER
8,2014,2020,6,445,0.000496894,1.6,3.806795958,6,1.017066307,11.67362425,1.247056561,1.937872027,25
8,2014,2020,7,516,0.002919255,0,2.651723453,6,1.033205871,9.078721687,1.213120328,2.05441533,50
8,2014,2020,8,622,0.006645963,0.9,4.388803397,6,1.045613419,10.18642152,1.286185274,1.982956216,30
9,2016,2019,1,363,0.002049689,2.77,3.627776502,3,0.750451385,11.70189163,0.918672292,1.313550286,0
9,2016,2019,2,375,0.006645963,2.16,6.957606009,3,0.801944635,11.49322464,0.932545474,1.820764925,15
9,2016,2019,3,374,0.004037267,2.66,3.438749984,3,0.716881134,16.56149024,1.140836025,0.651832467,0
9,2016,2019,4,305,0.002484472,2.87,4.608409315,3,0.724333172,12.88969621,0.949420651,1.37192178,1
9,2016,2020,5,297,0.005714286,3.6,3.033043744,4,0.789976986,10.85003064,0.84304516,1.393888711,0
9,2016,2020,6,255,0.001180124,4.95,3.927983344,4,0.796107756,13.21169306,1.013877785,1.105289305,0
9,2016,2020,7,284,0.000124224,2.19,2.171577149,4,0.757143454,16.61867907,1.116124588,0.405297686,0.7
9,2016,2020,8,345,0.001987578,3.6,3.170846643,4,0.803096623,13.6057684,1.101809791,1.205612179,10
10,2014,2019,1,466,0.002236025,1.8,4.834568547,5,0.949229915,12.92716921,1.242470287,1.750999841,25
10,2014,2019,2,307,0.004099379,2.67,5.105881461,5,0.952862514,12.57945941,1.204284265,1.830004301,35
10,2014,2019,3,899,0.001180124,0.31,2.947553339,5,1.209604,11.02067739,1.466129397,1.472257783,70
